DISTRICT,Jan-Feb,Mar-May,Jun-Sep,Oct-Dec
PITHORAGARH,107.7,205.3,1687.9,97.1
GARHWAL TEHRI,106.8,143.9,1047.1,87.2
UTTARKASHI,143.7,235.5,1148.6,97.9
HARIDWAR,68.9,64.4,961.9,48.7
CHAMPAWAT,82.8,113.1,1319.7,108.3
RUDRAPRAYAG,148.9,234.2,1671.1,96.7
UDHAM SINGH N,49,57.6,1119.9,87.4
BAGESHWAR,93,119.6,858.4,86.3
AMBALA,70.5,53.5,916.6,64.1
GURGAON,21.9,27.3,472.3,22.5
HISAR,23.2,31.6,325.1,21.5
JIND,35.1,32.7,415.6,25.7
KARNAL,51.7,41.4,577,44.3
MAHENDRAGARH,22.7,33.6,395.4,24.5
ROHTAK,36.1,46.8,508,27.1
BHIWANI,25,24.8,348.5,21.2
FARIDABAD,28.8,37.2,600.2,31.4
KURUKSHETRA,48.1,41.5,563,38.8
SIRSA,22.6,27.7,242.1,21.1
SONEPAT(RTK),35,40.7,534.3,34.2
YAMUNANAGAR,77.4,73.4,892.1,64.1
KAITHAL,32.9,26.6,384,23
PANIPAT,36.4,32,521.7,34
REWARI,17.8,18.1,435.8,20.5
FATEHABAD,27.7,32.9,283,21
JHAJJAR,24.9,27.8,417.3,19
PANCHKULA,81,67.2,950.4,49.6
MEWAT,19,21.3,501.8,29.9
PALWAL(FRD),17,17.9,446.9,26.3
CHANDIGARH,83.2,78.1,844.2,65.1
NEW DELHI,32.7,43.5,636.2,34.7
CENTRAL DELHI,32.7,43.5,636.2,34.7
EAST DELHI,32.7,43.5,636.2,34.7
NORTH DELHI,32.7,43.5,636.2,34.7
NE DELHI,32.7,43.5,636.2,34.7
SW DELHI,32.7,43.5,636.2,34.7
NW DELHI,32.7,43.5,636.2,34.7
SOUTH DELHI,32.7,43.5,636.2,34.7
WEST DELHI,32.7,43.5,636.2,34.7
AMRITSAR,59.4,73.4,537.6,51.3
BATHINDA,28.9,30.7,321,27.3
FEROZEPUR,30.2,46,352.3,27.1
GURDASPUR,109.9,100.8,827.8,74
HOSHIARPUR,78.2,76.2,717.9,60.8
JALANDHAR,57.2,64.6,551.5,45.8
KAPURTHALA,48.6,49.4,422.6,47.4
LUDHIANA,50.4,55.2,534.2,45.8
PATIALA,51.4,45.5,615.2,39.9
RUPNAGAR,80.5,91.5,728.5,56
SANGRUR,37.6,45,436.8,38
FARIDKOT,30.4,39,325.1,21.1
MOGA,34.7,40.4,354,31.5
NAWANSHAHR,78.7,73.7,788.6,64.6
FATEHGARH SAH,46.7,46.3,547.1,43
MUKTSAR,29.4,36.1,311.8,22.2
MANSA,30.7,27.4,334.8,26.9
BARNALA,31.6,31.1,355.6,31.1
SAS NAGAR(MGA),58.1,67.9,644.5,48.2
TARN TARAN,36.3,44.3,336.8,31.8
BILASPUR,129.3,121.2,877,69.7
CHAMBA,239,224.9,1406.4,126.8
KANGRA,163.2,169.9,1582.1,104.6
KINNAUR,209.9,260.7,264.2,101.6
KULLU,183.9,286.8,519.7,97.7
LAHUL & SPITI,269.9,377.2,458.2,143.5
MANDI,138.6,194.3,1093.4,80.6
HAMIRPUR,134.4,128.9,1078.9,86
SHIMLA,139.4,193.3,633.9,74.8
SIRMAUR,111.7,94.7,1324.6,87.3
SOLAN,137.8,139.3,1000.1,89
UNA,91.4,84.9,862.7,71.7
ANANTNAG,183.9,367.2,285.1,133.4
BARAMULLA,273.1,446.9,247.7,164.3
DODA,281.2,441.4,441.4,171.5
JAMMU,122.9,146,860.5,81.9
KATHUA,144.7,77.9,982,63.6
LADAKH (LEH),15.4,24.8,39.6,14.8
UDHAMPUR,228.8,240.2,1377.2,127.7
BADGAM,122.5,274.2,186.4,88.6
KUPWARA,213.4,495,253.2,171.1
PULWAMA,90.7,207.5,151.4,55
